LocalAuthority,WardName,ONSCode,TotalVotes,ANSTEE_COUNT,ASLAM_COUNT,BROPHY_COUNT,BURNHAM_COUNT,FARMER_COUNT,MORRIS_COUNT,ODZE_COUNT,PATTERSON_COUNT,WinCandVotes,WinningCandidate,SecondMostVotes,Difference,PercDifference,PERC_DIFFERENCE,PERC_DIFFERENCE_SQ,PERC_DIFFERENCE_ORDER_TEN,COLOUR,Want of Official Mark,More than 1 Vote 1st Pref,Identifying Mark,Unmarked or Void,TOTAL REJECTED,TOTAL VOTES EXC. REJ,ANSTEE_PERC,ASLAM_PERC,BROPHY_PERC,BURNHAM_PERC,FARMER_PERC,MORRIS_PERC,ODZE_PERC,PATTERSON_PERC
STOCKPORT,Cheadle Hulme North,E05000785,3337,836,13,486,1800,15,42,27,79,1800,4,836,964,0.73,73.14,5349.62,731.41,,0,0,15,24,39,3298,25.3,0.4,14.7,54.6,0.5,1.3,0.8,2.4
STOCKPORT,Edgeley and Cheadle Heath,E05000788,2766,415,7,164,1946,22,57,47,82,1946,4,415,1531,1.30,129.69,16819.71,1296.91,,0,12,13,1,26,2740,15.1,0.3,6.0,71.0,0.8,2.1,1.7,3.0
STOCKPORT,Hazel Grove,E05000789,3564,1263,7,499,1602,16,61,29,57,1602,4,1263,339,0.24,23.66,560.03,236.65,,0,19,1,10,30,3534,35.7,0.2,14.1,45.3,0.5,1.7,0.8,1.6
STOCKPORT,Heald Green,E05000790,3020,913,52,280,1547,7,68,32,71,1547,4,913,634,0.52,51.54,2656.86,515.45,,0,37,0,13,50,2970,30.7,1.8,9.4,52.1,0.2,2.3,1.1,2.4
STOCKPORT,Heatons North,E05000791,4310,763,16,267,3027,19,38,35,109,3027,4,763,2264,1.19,119.47,14273.63,1194.72,,0,20,0,16,36,4274,17.9,0.4,6.2,70.8,0.4,0.9,0.8,2.6
STOCKPORT,Heatons South,E05000792,4252,728,42,232,3015,18,39,20,118,3015,4,728,2287,1.22,122.20,14933.19,1222.01,,0,37,0,3,40,4212,17.3,1.0,5.5,71.6,0.4,0.9,0.5,2.8
STOCKPORT,Reddish North,E05000797,2666,420,8,100,1913,16,59,50,67,1913,4,420,1493,1.28,127.99,16381.37,1279.90,,0,25,0,8,33,2633,16.0,0.3,3.8,72.7,0.6,2.2,1.9,2.5
STOCKPORT,Reddish South,E05000798,3049,539,8,110,2183,11,62,43,66,2183,4,539,1644,1.21,120.79,14591.08,1207.94,,0,18,0,9,27,3022,17.8,0.3,3.6,72.2,0.4,2.1,1.4,2.2
TAMESIDE,Denton North East,E05000804,2153,494,3,69,1351,12,88,71,39,1351,4,494,857,0.93,92.90,8630.36,929.00,,0,21,3,2,26,2127,23.2,0.1,3.2,63.5,0.6,4.1,3.3,1.8
TAMESIDE,Denton South,E05000805,2115,475,6,69,1362,34,68,60,23,1362,4,475,887,0.97,96.57,9325.86,965.70,,0,10,2,6,18,2097,22.7,0.3,3.3,64.9,1.6,3.2,2.9,1.1
TAMESIDE,Denton West,E05000806,2824,616,4,101,1851,15,76,52,68,1851,4,616,1235,1.00,100.12,10024.34,1001.22,,0,26,0,15,41,2783,22.1,0.1,3.6,66.5,0.5,2.7,1.9,2.4
TAMESIDE,Droylsden East,E05000807,2273,425,7,82,1506,22,81,76,45,1506,4,425,1081,1.12,111.96,12535.65,1119.63,,0,25,0,4,29,2244,18.9,0.3,3.7,67.1,1.0,3.6,3.4,2.0
TAMESIDE,Droylsden West,E05000808,2237,379,3,89,1530,17,67,78,42,1530,4,379,1151,1.21,120.59,14541.15,1205.87,,0,18,4,10,32,2205,17.2,0.1,4.0,69.4,0.8,3.0,3.5,1.9
TAMESIDE,Dukinfield,E05000809,2126,486,7,74,1341,23,68,62,52,1341,4,486,855,0.94,93.60,8760.22,935.96,,0,6,2,5,13,2113,23.0,0.3,3.5,63.5,1.1,3.2,2.9,2.5
TAMESIDE,Hyde Godley,E05000811,2084,423,14,102,1310,23,72,53,66,1310,4,423,887,1.02,102.37,10478.77,1023.66,,0,14,3,4,21,2063,20.5,0.7,4.9,63.5,1.1,3.5,2.6,3.2
TAMESIDE,Hyde Newton,E05000812,2314,490,10,113,1469,16,80,63,44,1469,4,490,979,1.00,99.95,9989.79,999.49,,0,16,0,13,29,2285,21.4,0.4,4.9,64.3,0.7,3.5,2.8,1.9
TAMESIDE,Hyde Werneth,E05000813,2789,844,27,152,1557,16,61,44,51,1557,4,844,713,0.59,59.39,3527.40,593.92,,0,23,0,14,37,2752,30.7,1.0,5.5,56.6,0.6,2.2,1.6,1.9
TAMESIDE,Ashton Hurst,E05000800,2558,807,18,83,1437,20,50,56,50,1437,4,807,630,0.56,56.15,3152.79,561.50,,0,29,2,6,37,2521,32.0,0.7,3.3,57.0,0.8,2.0,2.2,2.0
TAMESIDE,Ashton St Michael's,E05000801,2047,428,33,91,1324,22,56,30,38,1324,4,428,896,1.02,102.28,10461.83,1022.83,,0,15,1,9,25,2022,21.2,1.6,4.5,65.5,1.1,2.8,1.5,1.9
TAMESIDE,Ashton Waterloo,E05000802,2196,569,20,57,1366,9,52,51,39,1366,4,569,797,0.82,82.38,6786.01,823.77,,0,15,2,16,33,2163,26.3,0.9,2.6,63.2,0.4,2.4,2.4,1.8
TAMESIDE,Audenshaw,E05000803,2472,631,11,77,1516,20,68,66,57,1516,4,631,885,0.82,82.44,6796.45,824.41,,0,18,1,7,26,2446,25.8,0.4,3.1,62.0,0.8,2.8,2.7,2.3
TAMESIDE,Dukinfield Stalybridge,E05000810,2369,558,5,90,1475,13,74,71,48,1475,4,558,917,0.90,90.21,8138.12,902.12,,0,23,2,10,35,2334,23.9,0.2,3.9,63.2,0.6,3.2,3.0,2.1
TAMESIDE,Longdendale,E05000814,2164,537,5,90,1330,20,46,49,58,1330,4,537,793,0.85,84.95,7216.35,849.49,,0,19,1,9,29,2135,25.2,0.2,4.2,62.3,0.9,2.2,2.3,2.7
TAMESIDE,Mossley,E05000815,2292,574,5,92,1420,18,42,27,80,1420,4,574,846,0.85,84.85,7200.30,848.55,,3,21,0,10,34,2258,25.4,0.2,4.1,62.9,0.8,1.9,1.2,3.5
TAMESIDE,St Peter's,E05000816,2257,259,88,107,1622,4,44,52,42,1622,4,259,1363,1.45,144.92,21002.65,1449.23,,0,24,2,13,39,2218,11.7,4.0,4.8,73.1,0.2,2.0,2.3,1.9
